yearID,playerID,POS,lgID,G,GS,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,awardID,Training_Validation
2013,aardsda01,P,NL,43,0,119,1,5,0,0,0,0,0,0,0,,Training
2015,aardsda01,P,NL,33,0,92,0,1,1,0,0,0,0,0,0,,Training
2013,abadfe01,P,NL,39,0,113,1,4,0,0,0,0,0,0,0,,Training
2014,abadfe01,P,AL,69,0,172,0,8,0,0,0,0,0,0,0,,Training
2015,abadfe01,P,AL,62,0,143,2,4,0,0,0,0,0,0,0,,Training
2016,abadfe01,P,AL,57,0,140,0,4,0,1,0,0,0,0,0,,Training
2017,abadfe01,P,AL,48,0,131,0,6,0,1,0,0,0,0,0,,Training
2019,abadfe01,P,NL,21,0,39,0,0,0,0,0,0,0,0,0,,Training
2021,abadfe01,P,AL,16,0,53,0,3,0,0,0,0,0,0,0,,Training
2023,abadfe01,P,NL,6,0,19,0,0,1,0,0,0,0,0,0,,Validation
2023,abbotan01,P,NL,21,21,328,1,9,0,1,0,0,0,0,0,,Validation
2021,abbotco01,P,NL,7,1,52,2,1,0,0,0,0,0,0,0,,Training
2022,abbotco01,P,NL,16,9,144,2,1,0,0,0,0,0,0,0,,Training
2023,abbotco01,P,NL,22,0,118,0,1,0,1,0,0,0,0,0,,Validation
2022,abramcj01,SS,NL,75,71,1856,89,184,13,34,0,0,0,0,0,,Training
2022,abramcj01,2B,NL,13,6,198,13,22,2,3,0,0,0,0,0,,Training
2022,abramcj01,OF,NL,3,1,36,4,0,0,0,0,0,0,0,0,,Training
2023,abramcj01,SS,NL,151,148,3884,245,384,22,100,0,0,0,0,0,,Validation
2020,abreual01,P,AL,2,0,4,0,0,0,0,0,0,0,0,0,,Training
2021,abreual01,P,AL,28,0,110,6,3,0,0,0,0,0,0,0,,Training
2022,abreual01,P,AL,33,0,116,2,5,2,1,0,0,0,0,0,,Training
2023,abreual01,P,AL,45,0,177,6,4,2,0,0,0,0,0,0,,Validation
2014,abreubo01,OF,NL,31,26,618,37,0,2,0,0,0,0,0,0,,Training
2019,abreubr01,P,AL,7,0,26,2,2,0,0,0,0,0,0,0,,Training
2020,abreubr01,P,AL,4,0,10,2,0,0,0,0,0,0,0,0,,Training
2021,abreubr01,P,AL,31,0,108,7,3,0,1,0,0,0,0,0,,Training
2022,abreubr01,P,AL,55,0,181,2,6,0,0,0,0,0,0,0,,Training
2023,abreubr01,P,AL,72,0,216,5,6,0,0,0,0,0,0,0,,Validation
