yearID,playerID,salary,G_fielding,GS_fielding,InnOuts,PO,A,E,DP,PB,WP,SB,CS,ZR,W,L,G_pitching,GS_pitching,CG,SHO,SV,IPouts,H,ER,HR,BB,SO,BAOpp,ERA,IBB,WP_right,HBP,BK,BFP,GF,R,SH,SF,GIDP,G_batting2,G_batting_total,AB,R_right,H_right,2B,3B,HR_right,RBI,SB_right,CS_right,BB_right,SO_right,IBB_right,HBP_right,SH_right,SF_right,GIDP_right,G_old,Training_Validation
2007,aardsda01,387500,25,0,97,2,4,1,0,0,0,0,0,0,2,1,25,0,0,0,0,97,39,23,4,17,36,0.3,6.4,3,2,1,0,151,7,24,2,1,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2008,aardsda01,403250,47,0,146,3,6,0,0,0,0,0,0,0,4,2,47,0,0,0,0,146,49,30,4,35,49,0.268,5.55,2,3,5,0,228,7,32,3,2,4,47,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Training
2009,aardsda01,419000,73,0,214,2,5,0,1,0,0,0,0,0,3,6,73,0,0,0,38,214,49,20,4,34,80,0.19,2.52,3,2,0,0,296,53,23,2,1,2,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2010,aardsda01,2750000,53,0,149,2,3,1,0,0,0,0,0,0,0,6,53,0,0,0,31,149,33,19,5,25,49,0.198,3.44,5,2,2,0,202,43,19,7,1,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2011,aardsda01,4500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Training
2012,aardsda01,500000,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,1,1,1,1,0.25,9.0,0,0,0,0,5,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2006,abadan01,327000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,Training
2011,abadfe01,418000,29,0,59,1,2,2,0,0,0,0,0,0,1,4,29,0,0,0,0,59,28,16,5,9,15,0.326,7.32,0,0,1,0,99,1,18,1,2,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
2012,abadfe01,485000,37,6,138,3,6,0,0,0,0,0,0,0,0,6,37,6,0,0,0,138,57,26,6,19,38,0.311,5.09,1,4,3,0,208,8,27,2,1,4,37,0,7,0,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,Training
2014,abadfe01,525900,69,0,172,0,8,0,0,0,0,0,0,0,2,4,69,0,0,0,0,172,34,10,4,15,51,0.175,1.57,3,0,4,0,216,17,11,1,2,6,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Training
